问题	回答																
“乔科”（游戏角色）的必杀技是什么	远程轰炸																
“小小”（游戏角色）的必杀技是什么	天台格斗																
“苏拉”（游戏角色）的必杀技是什么	巨巨弹弓																
“多多”（游戏角色）的必杀技是什么	靓仔炸场																
“菲”（游戏角色）的必杀技是什么	飒舞龙卷																
“阿瓜”（游戏角色）的必杀技是什么	描灵笔记																
“牟重重”（游戏角色）的必杀技是什么	举鼓搅浪																
“玻丽”（游戏角色）的必杀技是什么	再接再厉																
“卜卜苏利”（游戏角色）的必杀技是什么	月圆之夜																
“牟九九”（游戏角色）的必杀技是什么	双刃绝斩																
“奇霍”（游戏角色）的必杀技是什么	暗引地雷																
“塔弥”（游戏角色）的必杀技是什么	致命吸引																
“哈琪”（游戏角色）的必杀技是什么	绝对零度																
“图巴罗”（游戏角色）的必杀技是什么	足射爆发																
“杜比利”（游戏角色）的必杀技是什么	暗袖藏锋																
“泷”（游戏角色）的必杀技是什么	羽扇缭乱																
“杜铎”（游戏角色）的必杀技是什么	漫天飞雪																
“莉亚特”（游戏角色）的必杀技是什么	长枪冲击																
“艾尔”（游戏角色）的必杀技是什么	暗海之怒																
“丽莎”（游戏角色）的必杀技是什么	荡涤四海																
“蕾拉”（游戏角色）的必杀技是什么	沉睡舞曲																
“卢卡”（游戏角色）的必杀技是什么	飞龙震地																
“梅姬”（游戏角色）的必杀技是什么	冲刺突袭																
“海德”（游戏角色）的必杀技是什么	烟雾幻影																
“查查”（游戏角色）的必杀技是什么	幻影背刺																
“贝蒂”（游戏角色）的必杀技是什么	叠浪水柱																
“茉莉”（游戏角色）的必杀技是什么	音蝶协助																
“阿帕”（游戏角色）的必杀技是什么	绝地反击																
“祁灵”（游戏角色）的必杀技是什么	天外之陨																
“吕布”（游戏角色）的必杀技是什么	飞将无双																
“美杜莎”（游戏角色）的必杀技是什么	石化魔瞳																
“罗妮”（游戏角色）的必杀技是什么	声呐返航																
“米薇”（游戏角色）的必杀技是什么	水母地带																
“威尔斯”（游戏角色）的必杀技是什么	咔咔重炮																
“俄耳特洛斯”（游戏角色）的必杀技是什么	幽冥火焰																
“狮小小”（游戏角色）的职业类型是什么	战士
“提卡”（游戏角色）的职业类型是什么	辅助
“冷冷”（游戏角色）的职业类型是什么	辅助
“悟空”（游戏角色）的职业类型是什么	战士
“力昂”（游戏角色）的职业类型是什么	坦克
“琳”（游戏角色）的职业类型是什么	辅助
“影”（游戏角色）的职业类型是什么	刺客
“血刃”（游戏角色）的职业类型是什么	刺客
“轻舞佳人”（游戏角色）的职业类型是什么	法师
“烟火神”（游戏角色）的职业类型是什么	法师
“泡泡脑”（游戏角色）的职业类型是什么	辅助
“伊林”（游戏角色）的职业类型是什么	游侠
“白墩墩”（游戏角色）的职业类型是什么	战士
“重”（游戏角色）的职业类型是什么	坦克
“墩小艺”（游戏角色）的职业类型是什么	战士
“阿鲁鲁”（游戏角色）的职业类型是什么	法师
“吉他手”（游戏角色）的职业类型是什么	辅助
“乔科”（游戏角色）的职业类型是什么	游侠
“小小”（游戏角色）的职业类型是什么	战士
“苏拉”（游戏角色）的职业类型是什么	游侠
“多多”（游戏角色）的职业类型是什么	坦克
“菲”（游戏角色）的职业类型是什么	法师
“阿瓜”（游戏角色）的职业类型是什么	辅助
“牟重重”（游戏角色）的职业类型是什么	坦克
“玻丽”（游戏角色）的职业类型是什么	游侠
“卜卜苏利”（游戏角色）的职业类型是什么	刺客
“牟九九”（游戏角色）的职业类型是什么	刺客
“奇霍”（游戏角色）的职业类型是什么	辅助
“塔弥”（游戏角色）的职业类型是什么	法师
“哈琪”（游戏角色）的职业类型是什么	法师
“图巴罗”（游戏角色）的职业类型是什么	游侠
“杜比利”（游戏角色）的职业类型是什么	战士
“泷”（游戏角色）的职业类型是什么	游侠
“杜铎”（游戏角色）的职业类型是什么	法师
“莉亚特”（游戏角色）的职业类型是什么	坦克
“艾尔”（游戏角色）的职业类型是什么	战士
“丽莎”（游戏角色）的职业类型是什么	法师
“蕾拉”（游戏角色）的职业类型是什么	辅助
“卢卡”（游戏角色）的职业类型是什么	战士
“梅姬”（游戏角色）的职业类型是什么	战士
“海德”（游戏角色）的职业类型是什么	刺客
“查查”（游戏角色）的职业类型是什么	刺客
“贝蒂”（游戏角色）的职业类型是什么	游侠
“茉莉”（游戏角色）的职业类型是什么	游侠
“阿帕”（游戏角色）的职业类型是什么	游侠
“祁灵”（游戏角色）的职业类型是什么	法师
“吕布”（游戏角色）的职业类型是什么	战士
“美杜莎”（游戏角色）的职业类型是什么	游侠
“罗妮”（游戏角色）的职业类型是什么	坦克
“米薇”（游戏角色）的职业类型是什么	辅助
“威尔斯”（游戏角色）的职业类型是什么	游侠
“俄耳特洛斯”（游戏角色）的职业类型是什么	法师
“狮小小”（游戏角色）的技能特点是什么	持续输出																
“提卡”（游戏角色）的技能特点是什么	强效治疗																
“冷冷”（游戏角色）的技能特点是什么	全体治疗																
“悟空”（游戏角色）的技能特点是什么	强力群攻																
“力昂”（游戏角色）的技能特点是什么	前排肉盾																
“琳”（游戏角色）的技能特点是什么	全体治疗																
“影”（游戏角色）的技能特点是什么	爆发输出																
“血刃”（游戏角色）的技能特点是什么	强力群攻																
“轻舞佳人”（游戏角色）的技能特点是什么	关键控制																
“烟火神”（游戏角色）的技能特点是什么	中毒减益																
“泡泡脑”（游戏角色）的技能特点是什么	群体治疗																
“伊林”（游戏角色）的技能特点是什么	持续输出																
“白墩墩”（游戏角色）的技能特点是什么	强力群攻																
“重”（游戏角色）的技能特点是什么	关键控制																
“墩小艺”（游戏角色）的技能特点是什么	持续输出																
“阿鲁鲁”（游戏角色）的技能特点是什么	爆发群伤																
“吉他手”（游戏角色）的技能特点是什么	回血回能																
“乔科”（游戏角色）的技能特点是什么	关键控制																
“小小”（游戏角色）的技能特点是什么	关键控制																
“苏拉”（游戏角色）的技能特点是什么	持续输出																
“多多”（游戏角色）的技能特点是什么	关键控制																
“菲”（游戏角色）的技能特点是什么	爆发输出																
“阿瓜”（游戏角色）的技能特点是什么	单体治疗																
“牟重重”（游戏角色）的技能特点是什么	生命护盾																
“玻丽”（游戏角色）的技能特点是什么	持续输出																
“卜卜苏利”（游戏角色）的技能特点是什么	群体控制																
“牟九九”（游戏角色）的技能特点是什么	爆发输出																
“奇霍”（游戏角色）的技能特点是什么	生命护盾																
“塔弥”（游戏角色）的技能特点是什么	范围伤害																
“哈琪”（游戏角色）的技能特点是什么	强力控制																
“图巴罗”（游戏角色）的技能特点是什么	持续输出																
“杜比利”（游戏角色）的技能特点是什么	持续输出																
“泷”（游戏角色）的技能特点是什么	爆发输出																
“杜铎”（游戏角色）的技能特点是什么	群体控制																
“莉亚特”（游戏角色）的技能特点是什么	前排肉盾																
“艾尔”（游戏角色）的技能特点是什么	爆发输出																
“丽莎”（游戏角色）的技能特点是什么	范围伤害																
“蕾拉”（游戏角色）的技能特点是什么	强力控制																
“卢卡”（游戏角色）的技能特点是什么	爆发群伤																
“梅姬”（游戏角色）的技能特点是什么	范围伤害																
“海德”（游戏角色）的技能特点是什么	持续输出																
“查查”（游戏角色）的技能特点是什么	爆发输出																
“贝蒂”（游戏角色）的技能特点是什么	群体控制																
“茉莉”（游戏角色）的技能特点是什么	群体增益																
“阿帕”（游戏角色）的技能特点是什么	持续输出																
“祁灵”（游戏角色）的技能特点是什么	强力群攻																
“吕布”（游戏角色）的技能特点是什么	持续输出																
“美杜莎”（游戏角色）的技能特点是什么	群体控制																
“罗妮”（游戏角色）的技能特点是什么	前排肉盾																
“米薇”（游戏角色）的技能特点是什么	群体增益																
“威尔斯”（游戏角色）的技能特点是什么	范围伤害																
“俄耳特洛斯”（游戏角色）的技能特点是什么	持续输出																
“罗妮”（游戏角色）是什么星座	金牛座																
“米薇”（游戏角色）是什么星座	天枰座																
“威尔斯”（游戏角色）是什么星座	水瓶座																
“俄耳特洛斯”（游戏角色）是什么星座	天蝎座																
“罗妮”（游戏角色）的爱好习惯是什么	很喜欢潜水																
“米薇”（游戏角色）的爱好习惯是什么	最喜欢玩的事情是吹泡泡																
“威尔斯”（游戏角色）的爱好习惯是什么	精神错乱，每天都在说胡话																
“俄耳特洛斯”（游戏角色）的爱好习惯是什么	爱说黑色幽默的冷笑话																
对“罗妮”（游戏角色）来说，重要事务是什么	还好身上有声纳装置，不然一定会迷路的																
对“米薇”（游戏角色）来说，重要事务是什么	身上漂亮的水母服是妈妈缝制的																
对“威尔斯”（游戏角色）来说，重要事务是什么	脑子里住着一头看不见的怪兽																
对“俄耳特洛斯”（游戏角色）来说，重要事务是什么	其实三个头可以同时说话																
“罗妮”（游戏角色）的背景故事是什么	"在很久以前，罗妮生活在水晶王国的深海城市中。她一直对深海的神秘之处充满好奇，但这个城市却以其安逸和平静而著名，人们很少涉足深海的未知领域。然而，罗妮不同寻常的勇气和冒险精神使她想要探索更多。有一天，罗妮发现了一本古老的图书，里面记载着深海中某个传说中的宝藏，宝藏据说隐藏在一个神秘的海底洞穴里。罗妮决定追寻这个传说，虽然她的朋友们都试图劝阻她，认为那只是个传说，但她毫不动摇。她装备了深海泰坦的护甲，带上一本古老的地图，然后开始了她的冒险。在深海的黑暗中，她经历了各种挑战，遇到了奇怪的深海生物，甚至差点在一个巨大的魔鬼鱼的袭击下丧命。然而，罗妮不懈的努力和坚韧不拔的决心使她终于找到了传说中的海底洞穴。在那里，她发现了一个巨大的宝箱，里面装满了深海宝石和珍贵的宝藏。这个宝藏不仅丰富了她的家乡，还让她在水晶王国中获得了传奇般的声誉。"
“米薇”（游戏角色）的背景故事是什么	"在海洋王国的深处，水母一族一直以来都以掌握着水之奥秘而自豪。米薇出生在一个普通的水母家庭，但她与众不同。从小，米薇就表现出异常的兴趣：她喜欢在潮汐洞穴中探险，用她独特的水母头部制造出美丽的泡泡。然而，水母族长对她的这种兴趣感到担忧。他们相信水母的使命是保守水之秘密，而米薇的行为似乎在将这些秘密带给其他潮灵。因此，米薇不得不背着族人的反对，决定外出寻找属于她的冒险。米薇的旅程充满了惊险，她遇到了各种各样的潮灵，与他们分享了她制造泡泡的秘密，帮助了很多人。她的泡泡不仅是美丽的装饰，还有治愈的力量，可以愈合受伤的潮灵。米薇的旅程充满了惊险，她遇到了各种各样的潮灵，与他们分享了她制造泡泡的秘密，帮助了很多人。她的泡泡不仅是美丽的装饰，还有治愈的力量，可以愈合受伤的潮灵。"
“威尔斯”（游戏角色）的背景故事是什么	"威尔斯曾经是一位备受尊敬的科技王国研究员。他在先进的实验室里工作，一直致力于开发新一代的脑机接口技术。威尔斯的理论深刻而前卫，他相信通过融合人类大脑和先进科技，可以创造出前所未有的智能和创造力。然而，有一次他的实验出了意外。在尝试连接自己的大脑与实验室的主控系统时，一场巨大的电磁脉冲波突然袭来，瞬间将威尔斯的大脑与机器深度融合。这一事故导致他陷入了精神错乱状态，同时也使他获得了前所未有的科技能力。从那时起，威尔斯成为了一名精神病患者，狂躁而充满创造力。他总是穿着损坏的科技治疗仪，头戴不同颜色的发光装置，似乎是为了与外部世界保持连接。他的言语满是深奥的科技术语，通常让人难以理解他在说什么。虽然他的精神状态不再稳定，但威尔斯的超凡智慧让他成为了潮灵社区中的一颗明星。他创造了独特的数字艺术、音乐和虚拟现实体验，尽管看似疯狂，但却充满了前卫的科技元素。"
“俄耳特洛斯”（游戏角色）的背景故事是什么	"俄耳特洛斯是一只红色皮肤的人型地狱三头犬潮灵。他的故事始于地狱深渊的一个普通的火山喷发，但这次喷发中喷发出的不仅仅是熔岩，还有一个特殊的魔法结晶。这个结晶落在了地狱深渊的最深处，悄无声息地改变了那里的生物。其中一个生物就是一只普通的地狱三头犬。但当它不小心接触到那个魔法结晶时，发生了奇迹。它的皮肤变成了赤红色，脑海中突然涌现出智慧和知识。它的三颗头脑开始思考问题，它开始感知到周围的熔岩和火焰，仿佛它们拥有了生命。俄耳特洛斯变得与众不同。他从深渊的熔岩中汲取魔法力量，学会了控制火焰和熔岩。他开始探索深渊，与其他地狱生物交流，学习知识，甚至成为了地狱深渊的守护者。他的智慧和力量使他在地狱中独树一帜，成为了一名尊敬的地狱生物。"
潮灵链接说明	"上阵数满时默认选取上阵阵容作为链接主潮灵，否则选取当前等级最高的6只潮灵会成为链接主潮灵。链接等级取这6只潮灵中最低等级，链接等级将共享与其他潮灵等级。共享等级中的潮灵将无法进行升级操作，已升级过的潮灵重生后将自动同步链接等级。可随意替换链接中的主潮灵，替换后链接等级将同步最新主潮灵中的最低等级当链接等级达到250级后，将自动进入巅峰链接等级，提升巅峰等级可使潮灵等级突破250级。当巅峰等级达到250级之后，每拥有1只不朽品质的潮灵，巅峰等级上限增加5级"
潮灵传承说明	"传承条件:1.传承潮灵品质低于或者等于被传承潮灵，2.传承潮灵等级高于或者等于被传承潮灵。传承后潮灵等级互换。但是不影响原本双方潮灵的品质。同类型潮灵传承时候，如果被传承潮灵装备部位有空缺，且会自动过继传承潮灵身上的装备，剩余装备回到背包。传承时候，如果被传承潮灵神器部位有空缺，则会自动过继神器到被传承潮灵身上，否则回到背包。神器和装备，如果传承的时候，背包空间不足，无法传承。"
“狮小小”（游戏角色）的性别是什么	“狮小小”（游戏角色）的性别是女																
“提卡”（游戏角色）的性别是什么	“提卡”（游戏角色）的性别是女																
“冷冷”（游戏角色）的性别是什么	“冷冷”（游戏角色）的性别是女																
“悟空”（游戏角色）的性别是什么	“悟空”（游戏角色）的性别是男																
“力昂”（游戏角色）的性别是什么	“力昂”（游戏角色）的性别是男																
“琳”（游戏角色）的性别是什么	“琳”（游戏角色）的性别是女																
“影”（游戏角色）的性别是什么	“影”（游戏角色）的性别是男																
“血刃”（游戏角色）的性别是什么	“血刃”（游戏角色）的性别是女																
“轻舞佳人”（游戏角色）的性别是什么	“轻舞佳人”（游戏角色）的性别是女																
“烟火神”（游戏角色）的性别是什么	“烟火神”（游戏角色）的性别是男																
“泡泡脑”（游戏角色）的性别是什么	“泡泡脑”（游戏角色）的性别是男																
“伊林”（游戏角色）的性别是什么	“伊林”（游戏角色）的性别是女																
“白墩墩”（游戏角色）的性别是什么	“白墩墩”（游戏角色）的性别是男																
“重”（游戏角色）的性别是什么	“重”（游戏角色）的性别是男																
“墩小艺”（游戏角色）的性别是什么	“墩小艺”（游戏角色）的性别是男																
“阿鲁鲁”（游戏角色）的性别是什么	“阿鲁鲁”（游戏角色）的性别是女																
“吉他手”（游戏角色）的性别是什么	“吉他手”（游戏角色）的性别是男																
“乔科”（游戏角色）的性别是什么	“乔科”（游戏角色）的性别是男																
“小小”（游戏角色）的性别是什么	“小小”（游戏角色）的性别是男																
“苏拉”（游戏角色）的性别是什么	“苏拉”（游戏角色）的性别是女																
“多多”（游戏角色）的性别是什么	“多多”（游戏角色）的性别是男																
“菲”（游戏角色）的性别是什么	“菲”（游戏角色）的性别是女																
“阿瓜”（游戏角色）的性别是什么	“阿瓜”（游戏角色）的性别是女																
“牟重重”（游戏角色）的性别是什么	“牟重重”（游戏角色）的性别是男																
“玻丽”（游戏角色）的性别是什么	“玻丽”（游戏角色）的性别是女																
“卜卜苏利”（游戏角色）的性别是什么	“卜卜苏利”（游戏角色）的性别是女																
“牟九九”（游戏角色）的性别是什么	“牟九九”（游戏角色）的性别是女																
“奇霍”（游戏角色）的性别是什么	“奇霍”（游戏角色）的性别是男																
“塔弥”（游戏角色）的性别是什么	“塔弥”（游戏角色）的性别是男																
“哈琪”（游戏角色）的性别是什么	“哈琪”（游戏角色）的性别是女																
“图巴罗”（游戏角色）的性别是什么	“图巴罗”（游戏角色）的性别是男																
“杜比利”（游戏角色）的性别是什么	“杜比利”（游戏角色）的性别是男																
“泷”（游戏角色）的性别是什么	“泷”（游戏角色）的性别是男																
“杜铎”（游戏角色）的性别是什么	“杜铎”（游戏角色）的性别是男																
“莉亚特”（游戏角色）的性别是什么	“莉亚特”（游戏角色）的性别是女																
“艾尔”（游戏角色）的性别是什么	“艾尔”（游戏角色）的性别是男																
“丽莎”（游戏角色）的性别是什么	“丽莎”（游戏角色）的性别是女																
“蕾拉”（游戏角色）的性别是什么	“蕾拉”（游戏角色）的性别是女																
“卢卡”（游戏角色）的性别是什么	“卢卡”（游戏角色）的性别是男																
“梅姬”（游戏角色）的性别是什么	“梅姬”（游戏角色）的性别是女																
“海德”（游戏角色）的性别是什么	“海德”（游戏角色）的性别是男																
“查查”（游戏角色）的性别是什么	“查查”（游戏角色）的性别是女																
“贝蒂”（游戏角色）的性别是什么	“贝蒂”（游戏角色）的性别是女																
“茉莉”（游戏角色）的性别是什么	“茉莉”（游戏角色）的性别是女																
“阿帕”（游戏角色）的性别是什么	“阿帕”（游戏角色）的性别是男																
“吕布”（游戏角色）的性别是什么	“吕布”（游戏角色）的性别是男																
“美杜莎”（游戏角色）的性别是什么	“美杜莎”（游戏角色）的性别是女																
“祁灵”（游戏角色）的性别是什么	“祁灵”（游戏角色）的性别是男																
“俄耳特洛斯”（游戏角色）的性别是什么	“俄耳特洛斯”（游戏角色）的性别是男																
“米薇”（游戏角色）的性别是什么	“米薇”（游戏角色）的性别是女																
“罗妮”（游戏角色）的性别是什么	“罗妮”（游戏角色）的性别是女																
“威尔斯”（游戏角色）的性别是什么	“威尔斯”（游戏角色）的性别是男																
“狮小小”（游戏角色）是不是典藏级别潮灵	“狮小小”（游戏角色）不是典藏级别潮灵																
“提卡”（游戏角色）是不是典藏级别潮灵	“提卡”（游戏角色）不是典藏级别潮灵																
“冷冷”（游戏角色）是不是典藏级别潮灵	“冷冷”（游戏角色）不是典藏级别潮灵																
“悟空”（游戏角色）是不是典藏级别潮灵	“悟空”（游戏角色）是典藏级别潮灵																
“力昂”（游戏角色）是不是典藏级别潮灵	“力昂”（游戏角色）不是典藏级别潮灵																
“琳”（游戏角色）是不是典藏级别潮灵	“琳”（游戏角色）不是典藏级别潮灵																
“影”（游戏角色）是不是典藏级别潮灵	“影”（游戏角色）不是典藏级别潮灵																
“血刃”（游戏角色）是不是典藏级别潮灵	“血刃”（游戏角色）不是典藏级别潮灵																
“轻舞佳人”（游戏角色）是不是典藏级别潮灵	“轻舞佳人”（游戏角色）不是典藏级别潮灵																
“烟火神”（游戏角色）是不是典藏级别潮灵	“烟火神”（游戏角色）不是典藏级别潮灵																
“泡泡脑”（游戏角色）是不是典藏级别潮灵	“泡泡脑”（游戏角色）不是典藏级别潮灵																
“伊林”（游戏角色）是不是典藏级别潮灵	“伊林”（游戏角色）不是典藏级别潮灵																
“白墩墩”（游戏角色）是不是典藏级别潮灵	“白墩墩”（游戏角色）不是典藏级别潮灵																
“重”（游戏角色）是不是典藏级别潮灵	“重”（游戏角色）不是典藏级别潮灵																
“墩小艺”（游戏角色）是不是典藏级别潮灵	“墩小艺”（游戏角色）不是典藏级别潮灵																
“阿鲁鲁”（游戏角色）是不是典藏级别潮灵	“阿鲁鲁”（游戏角色）不是典藏级别潮灵																
“吉他手”（游戏角色）是不是典藏级别潮灵	“吉他手”（游戏角色）不是典藏级别潮灵																
“乔科”（游戏角色）是不是典藏级别潮灵	“乔科”（游戏角色）不是典藏级别潮灵																
“小小”（游戏角色）是不是典藏级别潮灵	“小小”（游戏角色）不是典藏级别潮灵																
“苏拉”（游戏角色）是不是典藏级别潮灵	“苏拉”（游戏角色）不是典藏级别潮灵																
“多多”（游戏角色）是不是典藏级别潮灵	“多多”（游戏角色）不是典藏级别潮灵																
“菲”（游戏角色）是不是典藏级别潮灵	“菲”（游戏角色）不是典藏级别潮灵																
“阿瓜”（游戏角色）是不是典藏级别潮灵	“阿瓜”（游戏角色）不是典藏级别潮灵																
“牟重重”（游戏角色）是不是典藏级别潮灵	“牟重重”（游戏角色）不是典藏级别潮灵																
“玻丽”（游戏角色）是不是典藏级别潮灵	“玻丽”（游戏角色）不是典藏级别潮灵																
“卜卜苏利”（游戏角色）是不是典藏级别潮灵	“卜卜苏利”（游戏角色）是典藏级别潮灵																
“牟九九”（游戏角色）是不是典藏级别潮灵	“牟九九”（游戏角色）不是典藏级别潮灵																
“奇霍”（游戏角色）是不是典藏级别潮灵	“奇霍”（游戏角色）是典藏级别潮灵																
“塔弥”（游戏角色）是不是典藏级别潮灵	“塔弥”（游戏角色）不是典藏级别潮灵																
“哈琪”（游戏角色）是不是典藏级别潮灵	“哈琪”（游戏角色）是典藏级别潮灵																
“图巴罗”（游戏角色）是不是典藏级别潮灵	“图巴罗”（游戏角色）不是典藏级别潮灵																
“杜比利”（游戏角色）是不是典藏级别潮灵	“杜比利”（游戏角色）不是典藏级别潮灵																
“泷”（游戏角色）是不是典藏级别潮灵	“泷”（游戏角色）不是典藏级别潮灵																
“杜铎”（游戏角色）是不是典藏级别潮灵	“杜铎”（游戏角色）是典藏级别潮灵																
“莉亚特”（游戏角色）是不是典藏级别潮灵	“莉亚特”（游戏角色）是典藏级别潮灵																
“艾尔”（游戏角色）是不是典藏级别潮灵	“艾尔”（游戏角色）不是典藏级别潮灵																
“丽莎”（游戏角色）是不是典藏级别潮灵	“丽莎”（游戏角色）不是典藏级别潮灵																
“蕾拉”（游戏角色）是不是典藏级别潮灵	“蕾拉”（游戏角色）不是典藏级别潮灵																
“卢卡”（游戏角色）是不是典藏级别潮灵	“卢卡”（游戏角色）不是典藏级别潮灵																
“梅姬”（游戏角色）是不是典藏级别潮灵	“梅姬”（游戏角色）不是典藏级别潮灵																
“海德”（游戏角色）是不是典藏级别潮灵	“海德”（游戏角色）不是典藏级别潮灵																
“查查”（游戏角色）是不是典藏级别潮灵	“查查”（游戏角色）不是典藏级别潮灵																
“贝蒂”（游戏角色）是不是典藏级别潮灵	“贝蒂”（游戏角色）不是典藏级别潮灵																
“茉莉”（游戏角色）是不是典藏级别潮灵	“茉莉”（游戏角色）是典藏级别潮灵																
“阿帕”（游戏角色）是不是典藏级别潮灵	“阿帕”（游戏角色）不是典藏级别潮灵																
